pais,sedes,secciones_promedio,IED_2022
brasil,11,0.09,86050.36
chile,6,2.33,19786.0
canada,4,1.0,52633.2
alemania,4,1.0,11053.4
australia,2,2.5,61629.48
belgica,2,2.5,-1710.15
ecuador,2,4.0,788.06
india,2,2.0,49354.61
israel,2,1.5,27760.14
peru,2,3.5,11655.58
sudafrica,2,2.0,9051.19
suiza,2,2.5,13311.3
turquia,2,2.0,0.0
argelia,1,6.0,88.77
angola,1,6.0,-6142.25
armenia,1,3.0,998.06
austria,1,11.0,1946.82
azerbaiyan,1,5.0,-4474.47
barbados,1,7.0,200.0
colombia,1,7.0,17047.55
costa rica,1,2.0,3045.04
dinamarca,1,4.0,4493.54
republica dominicana,1,3.0,4010.4
egipto,1,6.0,11399.9
el salvador,1,5.0,-99.1
finlandia,1,2.0,9444.79
grecia,1,4.0,7603.64
guatemala,1,3.0,1352.41
haiti,1,7.0,39.3
honduras,1,4.0,822.6
hungria,1,5.0,8571.47
indonesia,1,5.0,21968.17
iran,1,1.0,1500.0
irlanda,1,4.0,1490.06
japon,1,6.0,32508.81
kenia,1,6.0,759.49
kuwait,1,5.0,757.77
libano,1,5.0,457.88
libia,1,2.0,0.0
malasia,1,3.0,16939.6
marruecos,1,5.0,2141.4
mozambique,1,8.0,1975.29
paises bajos,1,4.0,-67340.33
nueva zelanda,1,3.0,7538.76
nicaragua,1,1.0,1293.8
nigeria,1,6.0,-186.79
noruega,1,3.0,-3435.56
pakistan,1,2.0,1339.0
panama,1,4.0,2640.42
filipinas,1,4.0,9199.94
polonia,1,3.0,29461.9
portugal,1,5.0,9099.4
rumania,1,2.0,11272.95
serbia,1,4.0,5465.42
singapur,1,4.0,141210.97
suecia,1,4.0,45963.07
tailandia,1,6.0,10033.66
tunez,1,7.0,713.37
ucrania,1,4.0,848.0
emiratos arabes unidos,1,3.0,22736.56
venezuela,1,5.0,941.33
jamaica,1,3.0,359.51
vietnam,1,4.0,17900.0
