paises,Año,valor
afganistan,2018,119.4351057
albania,2018,1289.6890536982
argelia,2018,1474.5890692
angola,2018,-6456.0764131
argentina,2018,11716.5835681
armenia,2018,266.8550488
aruba,2018,110.1756500559
australia,2018,67568.1329814736
austria,2018,5389.7691421067
azerbaiyan,2018,1403.0
bahamas,2018,947.4300315
bahrein,2018,1654.2553191489
bangladesh,2018,3613.3
barbados,2018,241.5964999
belarus,2018,1421.0
belgica,2018,27137.1750601106
belice,2018,118.27554695
benin,2018,194.073683336
islas bermudas,2018,95.4163715
bolivia,2018,302.3687813
bosnia y herzegoniva,2018,581.3830514458
botsuana,2018,285.9550619291
brasil,2018,59802.4064898
islas virgenes britanicas,2018,34389.7091232
brunei darussalam,2018,517.303114568
bulgaria,2018,1142.612471598
burkina faso,2018,268.4149081386
burundi,2018,0.0
cabo verde,2018,103.1895886379
camboya,2018,3212.633447
camerun,2018,761.5495497498
canada,2018,37661.9247456047
islas caiman,2018,20680.8117761
republica centroafricana,2018,18.0035354551
chad,2018,460.89050765
chile,2018,13030.5193619
china,2018,138305.89
hong kong,2018,104245.7102762008
macao,2018,2613.4384274922
taiwan,2018,7114.0
colombia,2018,11298.6927739
congo,2018,4315.2509183882
islas cook,2018,11.5587222
costa rica,2018,2487.1804005
cote divoire,2018,620.3306458028
croacia,2018,1199.036387599
curazao,2018,0.0
chipre,2018,-413.4801654522
czechia,2018,11010.363960433
checoslovaquia,2018,0.0
republica democratica del congo,2018,1616.7948841
dinamarca,2018,-2497.2211308394
republica dominicana,2018,2535.3
ecuador,2018,1389.1987631
egipto,2018,8141.3
el salvador,2018,826.01
guinea ecuatorial,2018,396.0777800117
estonia,2018,1426.3191343124
fiyi,2018,470.9731816919
finlandia,2018,-2171.7770545082
francia,2018,41832.9845578267
polinesia frances,2018,5.9378413702
gabon,2018,1379.0708158589
gambia,2018,51.94
georgia,2018,1351.5297
alemania,2018,72022.4027247004
ghana,2018,2908.16
grecia,2018,3973.2651764584
guatemala,2018,980.65193
guinea,2018,352.76
guinea bissau,2018,20.5638182321
guayana,2018,1231.06
haiti,2018,105.0
honduras,2018,961.3
hungria,2018,6460.3310740465
islandia,2018,-381.4675241156
india,2018,42156.1933670502
indonesia,2018,20563.47
iran,2018,2373.0
irak,2018,-4885.1
irlanda,2018,-12017.4025593666
israel,2018,21514.605
italia,2018,37681.9261855612
jamaica,2018,774.6206031
japon,2018,9962.7208448871
jordan,2018,954.9295774648
kazakhstan,2018,3897.7586346
kenia,2018,1139.4382243
kiribati,2018,-1.1443647
rep de corea,2018,12182.6
kuwait,2018,204.0169957974
kirguistan,2018,144.0
lao,2018,1358.0195062
letonia,2018,963.6596391945
libano,2018,2658.0038446
liberia,2018,129.13
libia,2018,0.0
lituania,2018,976.6383394822
luxemburgo,2018,-83336.4825478405
madagascar,2018,352.5516225792
malawi,2018,77.012306
malasia,2018,7618.3376991572
mali,2018,467.2953914129
malta,2018,4023.6167467748
mauritania,2018,772.8904771887
mauricio,2018,460.5113682408
mejico,2018,34097.227208
mongolia,2018,2173.741
montenegro,2018,489.8148206715
marruecos,2018,3558.8788615338
mozambique,2018,2703.0312939
namibia,2018,208.5567579788
paises bajos,2018,99381.3302045887
antillas holandesas,2018,0.0
nueva caledonia,2018,345.2953720801
nueva zelanda,2018,2297.859620912
nicaragua,2018,837.6
niger,2018,466.0422733311
nigeria,2018,775.2474
noruega,2018,225.7608361512
oman,2018,6455.1365409623
pakistan,2018,1737.0
panama,2018,4750.5034767
papua nueva guinea,2018,305.6634642624
paraguay,2018,164.3012466
peru,2018,6761.1857889
filipinas,2018,9948.598824
polonia,2018,15996.269918158
portugal,2018,7181.3826600313
katar,2018,-2186.2637363
republica de moldova,2018,296.99
rumania,2018,6218.911348037
federacion rusa,2018,13227.64206
ruanda,2018,381.9115985
santo tome principe,2018,23.203612
arabia saudita,2018,4247.1190934
senegal,2018,847.8415753981
serbia,2018,4411.8794125914
serbia montenegro,2018,0.0
seychelles,2018,-66.125331
sierra leona,2018,250.0
singapur,2018,73561.0249384287
sint maarten,2018,-47.9150834637
eslovaquia,2018,1675.0848941628
eslovenia,2018,1384.17299521
islas salomon,2018,24.838211356
sudafrica,2018,5449.5540137104
españa,2018,58062.8551723486
sri lanka,2018,1614.0440092
estado de palestina,2018,251.6283945
suriname,2018,119.19076
suazilandia,2018,36.4744492772
suecia,2018,5269.1291522203
suiza,2018,-101147.6685452145
tailandia,2018,13751.7620619
macedonia,2018,725.2026713275
timor oriental,2018,47.926
tonga,2018,15.0474744
trinidad tobago,2018,-700.1857012
tunez,2018,1035.9417379113
turquia,2018,0.0
uganda,2018,1055.3533526
ucrania,2018,4732.0
emiratos arabes unidos,2018,10385.286
reino unido,2018,87837.4772524722
estados unidos,2018,203234.0
uruguay,2018,-11.1216036
venezuela,2018,886.0
vietnam,2018,15500.0
yemen,2018,-282.0983333
zambia,2018,408.4384917
zimbabue,2018,745.0079428
afganistan,2019,23.4045536
albania,2019,1287.9669889262
argelia,2019,1381.81231
angola,2019,-4098.4787476
argentina,2019,6649.187838
armenia,2019,100.2872144
aruba,2019,-136.116582905
australia,2019,38886.1507104241
austria,2019,4905.4797083992
azerbaiyan,2019,1503.9
bahamas,2019,610.9571738
bahrein,2019,1548.1382978723
bangladesh,2019,2873.95
barbados,2019,215.3701286
belarus,2019,1293.1
belgica,2019,11860.8358446885
belice,2019,93.9102417
benin,2019,218.2078716252
islas bermudas,2019,4.9853965
bolivia,2019,-216.6368431
bosnia y herzegoniva,2019,457.5139829327
botsuana,2019,93.6071271335
brasil,2019,65386.0413218
islas virgenes britanicas,2019,39103.3616106
brunei darussalam,2019,374.573290652
bulgaria,2019,1835.2701942065
burkina faso,2019,162.9695429534
burundi,2019,1.0449574151
cabo verde,2019,123.2313303446
camboya,2019,3663.0329995
camerun,2019,1026.9153278401
canada,2019,50543.6793832949
islas caiman,2019,28165.1289833
republica centroafricana,2019,25.601157287
chad,2019,566.6389479523
chile,2019,14403.4339009
china,2019,141224.62
hong kong,2019,73714.027343577
macao,2019,6682.634344716
taiwan,2019,8240.0
colombia,2019,13989.15403
congo,2019,3366.0850121848
islas cook,2019,8.5691089
costa rica,2019,2812.2612876
cote divoire,2019,935.684596869
croacia,2019,401.4847690729
curazao,2019,203.2304536313
chipre,2019,52329.652888469
czechia,2019,10108.4069717581
checoslovaquia,2019,0.0
republica democratica del congo,2019,1488.0535699
dinamarca,2019,27029.3773981561
republica dominicana,2019,3021.0
ecuador,2019,979.0204962
egipto,2019,9010.0
el salvador,2019,636.16817
guinea ecuatorial,2019,452.2871120704
estonia,2019,3082.948026142
fiyi,2019,321.006409482
finlandia,2019,13456.0874802413
francia,2019,13100.0944836758
polinesia frances,2019,12.731152748
gabon,2019,1553.1368754115
gambia,2019,71.0833058
georgia,2019,1352.18174
alemania,2019,52683.664399357
ghana,2019,3292.07
grecia,2019,5019.2067714794
guatemala,2019,976.14102
guinea,2019,44.4
guinea bissau,2019,71.65868036
guayana,2019,1695.29322
haiti,2019,75.0
honduras,2019,498.1
hungria,2019,4256.1761074795
islandia,2019,-224.9060072325
india,2019,50558.3310017797
indonesia,2019,23883.25
iran,2019,1508.0
irak,2019,-3508.2
irlanda,2019,149433.097945092
israel,2019,17362.681
italia,2019,18145.5675513503
jamaica,2019,665.415555
japon,2019,13755.3732060788
jordan,2019,729.7183098592
kazakhstan,2019,3284.1810607
kenia,2019,1098.3759473
kiribati,2019,-0.5582805
rep de corea,2019,9634.3
kuwait,2019,350.7254974293
kirguistan,2019,404.0
lao,2019,755.5241242
letonia,2019,924.6862112046
libano,2019,1905.3627395
liberia,2019,86.68
libia,2019,0.0
lituania,2019,3021.6416874516
luxemburgo,2019,163717.5968009887
madagascar,2019,474.3114254
malawi,2019,55.2278316
malasia,2019,7812.7771595208
mali,2019,720.6388353038
malta,2019,3778.1053448206
mauritania,2019,886.9163586447
mauricio,2019,444.0777608829
mejico,2019,34567.04635
mongolia,2019,2443.34
montenegro,2019,416.4472570628
marruecos,2019,1719.9614519008
mozambique,2019,2211.654426
namibia,2019,-178.9256710885
paises bajos,2019,-1140.2647781873
antillas holandesas,2019,0.0
nueva caledonia,2019,723.4803567883
nueva zelanda,2019,4273.0791402454
nicaragua,2019,503.0
niger,2019,717.1476396195
nigeria,2019,2305.0998117
noruega,2019,16714.7727272727
oman,2019,4236.6710013004
pakistan,2019,2234.0
panama,2019,3920.9840219
papua nueva guinea,2019,335.1767566888
paraguay,2019,331.7178381
peru,2019,6241.0556564
filipinas,2019,8671.36587
polonia,2019,13510.1676705193
portugal,2019,12251.4775436707
katar,2019,-2812.6373626
republica de moldova,2019,508.62
rumania,2019,5791.0433057644
federacion rusa,2019,32075.62193
ruanda,2019,353.8444861
santo tome principe,2019,24.1917995
arabia saudita,2019,4562.573671
senegal,2019,1065.4628196927
serbia,2019,4554.8498112565
serbia montenegro,2019,0.0
seychelles,2019,30.3973594
