sede_id,secciones_desc_castellano,correo_electronico
ECHES,Administración,eches@mrecic.gov.ar
ERUNI,Administración,eruni@mrecic.gov.ar
EHAIT,Administración,ehait@cancilleria.gob.ar
EKENY,Administración,ekeny@cancilleria.gob.ar
ERUNI,Administración,eruni@mrecic.gov.ar
CNYOR,Administración,administracion@cnyor.com
EECUA,Administración  y  Logística,despacho-eecua@mrecic.gov.ar
EJAPO,Administrativa,admin_ejapo@mrecic.gov.ar
ESALV,Administrativa  -  Contable,administracion.esalv@mrecic.gov.ar
EGUAT,Agregada  Administrativa,administracion-eguat@mrecic.gov.ar
EPNMA,Agregada  Administrativa,epnma@cancilleria.gob.ar
ETURQ,Agregada  para  Asuntos  Administrativos,eturq@cancilleria.gob.ar
EPORT,Agregado  Administrativo,eport@cancilleria.gob.ar
EISIA,Agregado  Administrativo,eisia@cancilleria.gob.ar
ETAIL,Agregado  Administrativo,etail@cancilleria.gob.ar
CGUAY,AGREGADO  CONSULAR,cguay@cancilleria.gov.ar
EBRAS,Agregado  Militar  y  de  Defensa,amabrasil@ejercito.mil.ar
EBRAS,Agregado  Naval,agregadurianaval@gmail.com
EBOLV,Agregaduría  Aeronáutica,agraebol@yahoo.com.ar
EEEUU,Agregaduria  Aeronautica,comunicaciones@faaus.org
EHILE,Agregaduria  Aeronáutica,agregaerchi@faa.mil.ar
EFRUS,Agregaduría  Agrícola,oficina@agroindustrial.ru
ECHIN,Agregaduría  Agrícola,echin@cancilleria.gob.ar
ESURI,Agregaduria  de  Defensa,0
EPERU,Agregaduria  de  Defensa  y  Aeronáutica,eperu@cancilleria.gob.ar
EHILE,Agregaduría  de  Defensa  y  Aeronáutica,agregaerchi@faa.mil.ar
EBOLV,Agregaduría  de  Defensa  y  Militar,defebol10304@yahoo.com.ar
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",defensa_ealem@mrecic.gov.ar
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",secretariadefargrusia@gmail.com
ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",echin@cancilleria.gob.ar
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",agrdefis@actcom.co.il
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",ekuwa@cancilleria.gob.ar
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",agdefarg@prodigy.net.mx
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",eruni@cancilleria.gob.ar
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",agsa@ara.mil.ar
ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",agredefcolombia@gmail.com
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica",difesa.argentina@alice.it
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",eruni@mrecic.gov.ar
EHILE,Agregaduría  de  Gendarmería  Nacional,gendarmeriachile@gmail.com
EBOLV,Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA),miguelcuenca@gna.gob.ar
EBOLV,Agregaduría  de  Prefectura  Naval,dgbonafacini@gmail.com
EECUA,Agregaduria  Militar,eecua@mrecic.gov.ar
EEEUU,Agregaduria  Militar,argarmy@gmail.com
